,id,Created at,Screen Name,Tweet Text,Subject
91,1321778694235385856,Thu Oct 29 11:39:32 +0000 2020,andrewbogut,A friends family member today received a letter from a lawyer (have seen it)citing defamation for a facebook post (… https://t.co/e32mdBxFYR,Andrews
92,1322089241854177281,Fri Oct 30 08:13:33 +0000 2020,andrewjgiles,"If anyone deserves a day off, it’s Dan Andrews.

Thank you, Premier for your commitment, determination and resolve… https://t.co/urdiPQPNn4",Andrews
93,1322424322187694082,Sat Oct 31 06:25:02 +0000 2020,Kazwaz78,RT @Margaretmaryle3: ‘Will not see you tomorrow’: Dan Andrews signs off after a marathon 120 briefings | The New Daily https://t.co/p7hMP9o…,Andrews
94,1322424242986647555,Sat Oct 31 06:24:43 +0000 2020,Ffotsirk2,RT @deemadigan: And those who defended @ScottMorrisonMP  going to Hawaii during the bushfires will no doubt have a go at @DanielAndrewsMP o…,Andrews
95,1322423957316804608,Sat Oct 31 06:23:35 +0000 2020,Srb1970Rita,Dan Andrews' mum reveals she hasn't seen the premier since Christmas https://t.co/j4vG3ZoFAb,Andrews
96,1322423828706783234,Sat Oct 31 06:23:04 +0000 2020,roddy68543027,"@AuMakkapakka @Simp04948286M @abcmelbourne DAN ANDREWS SURE SCREWED US, the animal",Andrews
97,1322423628487516161,Sat Oct 31 06:22:17 +0000 2020,For_Australia_,World Class Victorian Produce: Lamb. Pork. Chicken and Beef Sausages. The only think that isn’t our communists in t… https://t.co/m7K7TWqkay,Andrews
98,1322423447478169600,Sat Oct 31 06:21:33 +0000 2020,BunnySymphonic,"RT @HyliaGames: 10 new cases in Australia today
100,000 new cases in USA today

Thanks Dan Andrews for being strict on lockdowns and helpin…",Andrews
100,1322423158247362560,Sat Oct 31 06:20:25 +0000 2020,billisdoing,"""Perhaps he was lounging in an inflatable doughnut, trading selfies with Prime Minister Scott Morrison, who was kic… https://t.co/K5hzkA3nrw",Andrews
101,1322423009332793346,Sat Oct 31 06:19:49 +0000 2020,Myfanwy_Jack,"@bach_mp Your mob don't give 1 single shit about women, unless you can use us against Dan Andrews (who has an appro… https://t.co/kPJXTaYdhC",Andrews
103,1322422877463879681,Sat Oct 31 06:19:18 +0000 2020,FlatEarthGang,RT @Bunny45564943: @InsidersABC @latingle Read it before Scomo wakes up and ask ABC to replace his name with Dan Andrews in this article. 🤣,Andrews
104,1322422582130413568,Sat Oct 31 06:18:07 +0000 2020,ModestyEvita,Victoria is finally being set free but we need to ensure it lasts because we know there’s nothing premier Dan Andre… https://t.co/Of3118KRav,Andrews
105,1322422525486223363,Sat Oct 31 06:17:54 +0000 2020,anthmusic,"RT @Tim_jbo: Irony in Andrews surviving the Dandemic
https://t.co/qgNcEL3swN
Senior Liberals are worried that #DanielAndrews can now fight…",Andrews
106,1322422439737843713,Sat Oct 31 06:17:33 +0000 2020,BrainwaveCortex,"RT @melbomartin: @AlexDevantier @LaTrioli Had a haircut today.   The hairdresser,  long established in the business was all in favour of wh…",Andrews
107,1322422134665175041,Sat Oct 31 06:16:20 +0000 2020,marieelement,RT @geeksrulz: Rumour that Dan Andrews been asked to join an emergency zoom meeting with World Leaders on how to combat the second wave. No…,Andrews
108,1322421832041996288,Sat Oct 31 06:15:08 +0000 2020,kerivvy,"@Sassythepatty @SquizzSTK @wah_jag Or “Dan Andrews - day off, or resignation???”",Andrews
109,1322421725485625346,Sat Oct 31 06:14:43 +0000 2020,Explosive_Nicka,@margdarcy @cheesyMelody @blu_boys @VicGovDHHS Dan Andrews the leader that unites us! What a mess.,Andrews
110,1322421229509255168,Sat Oct 31 06:12:45 +0000 2020,Mark18787662,"@DaveMilbo Gaslighting, it won't be long before they stick the knife into Dan Andrews again.

Also these conniving… https://t.co/fGGwTa8VVr",Andrews
111,1322421029831020544,Sat Oct 31 06:11:57 +0000 2020,vicenvironment,Excellent work @MartinFoleyMP https://t.co/BocEl7Wuoi,Andrews
113,1322420838105186309,Sat Oct 31 06:11:11 +0000 2020,wagepeaceau,"@ChristineMilne @ScottMorrisonMP Mal Brough Marise Payne NSW Dan Tehan Vic: Ministers for Defence Materiel
Sept 201… https://t.co/9m4eeBFFK4",Andrews
